County,SiteName,Grade,"# Documentation Required
(Adjusted Enrollment)","# Vaccinated:
DTaP/Tdap","% Vaccinated:
DTaP/Tdap","# Vaccinated:
Polio","% Vaccinated:
Polio","# Vaccinated:
Varicella","% Vaccinated:
Varicella","# Vaccinated:
MMR1","% Vaccinated:
Mumps/Rubella","# Vaccinated:
Measles","% Vaccinated:
Measles","# Vaccinated:
HepB","% Vaccinated:
HepB","# Requiring
HepA","# Vaccinated:
HepA","% Vaccinated:
HepA","# with all
vaccines required","% with all
vaccines required","# Nonmedical Exemptions
Any Vaccines","% Nonmedical Exemptions
Any Vaccines","# Exemption:
DTaP/Tdap","% Exemption:
DTaP/Tdap","# Exemption:
Polio","% Exemption:
Polio","# Exemption:
Varicella","% Exemption:
Varicella","# Exemption:
Measles","% Exemption:
Measles","# Exemption:
Mumps","% Exemption:
Mumps","# Exemption:
Rubella","% Exemption:
Rubella","# Exemption:
HepB","% Exemption:
HepB","# Exemption:
HepA","% Exemption:
HepA","# Nonmedical Exemptions
All Vaccines","% Nonmedical Exemptions
All Vaccines",# No Record,% No Record,"# w/ Medical
Exemption(s)","% w/ Medical
Exemption(s)",# Not Counted
Clackamas,COLUMBIA ACADEMY,FULL SCHOOL GRADES K-12,27,13,48%,13,48%,13,48%,13,48%,13,48%,13,48%,27,13,48%,13,48%,14,52%,14,52%,14,52%,14,52%,14,52%,14,52%,14,52%,14,52%,14,52%,14,52%,0,0%,0,0%,0
Clackamas,COUNTRY CHRISTIAN SCHOOL,FULL SCHOOL GRADES K-12,191,176,92%,176,92%,177,93%,178,93%,175,92%,176,92%,158,143,91%,171,90%,19,10%,15,8%,15,8%,14,7%,16,8%,13,7%,12,6%,15,8%,14,9%,12,6%,0,0%,0,0%,0
Clackamas,CREATIVE MINDS LEARNING CENTERS HAPPY VALLEY SCHOO,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,DAMASCUS CHRISTIAN SCHOOL,FULL SCHOOL GRADES K-12,228,200,88%,196,86%,201,88%,203,89%,195,86%,196,86%,193,157,81%,184,81%,44,19%,28,12%,32,14%,27,12%,33,14%,25,11%,25,11%,32,14%,36,19%,22,10%,0,0%,0,0%,2
Clackamas,DUNCAN ELMENTARY,FULL SCHOOL GRADES K-12,610,573,94%,573,94%,576,94%,577,95%,571,94%,575,94%,610,569,93%,567,93%,41,7%,37,6%,37,6%,34,6%,39,6%,33,5%,33,5%,35,6%,39,6%,31,5%,0,0%,0,0%,0
Clackamas,ECCLES ELEMENTARY,FULL SCHOOL GRADES K-12,458,442,97%,441,96%,441,96%,443,97%,442,97%,440,96%,458,440,96%,435,95%,20,4%,16,3%,17,4%,17,4%,16,3%,14,3%,14,3%,17,4%,17,4%,13,3%,0,0%,0,0%,0
Clackamas,EL PUENTE ELEMENTARY,FULL SCHOOL GRADES K-12,286,279,98%,277,97%,280,98%,279,98%,279,98%,277,97%,286,277,97%,273,95%,12,4%,7,2%,9,3%,6,2%,7,2%,6,2%,6,2%,8,3%,8,3%,6,2%,0,0%,0,0%,0
Clackamas,ELLIOTT PRAIRIE CHRISTIAN,FULL SCHOOL GRADES K-12,15,6,40%,6,40%,6,40%,6,40%,6,40%,5,33%,12,4,33%,5,33%,10,67%,9,60%,9,60%,9,60%,9,60%,9,60%,9,60%,10,67%,8,67%,9,60%,0,0%,0,0%,0
Clackamas,ESTACADA HIGH SCHOOL,FULL SCHOOL GRADES K-12,487,468,96%,474,97%,479,98%,482,99%,474,97%,474,97%,255,250,98%,467,96%,19,4%,18,4%,12,2%,7,1%,12,2%,4,1%,4,1%,11,2%,5,2%,1,0%,0,0%,1,0%,0
Clackamas,ESTACADA MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,414,404,98%,404,98%,411,99%,410,99%,409,99%,406,98%,414,407,98%,399,96%,10,2%,7,2%,8,2%,1,0%,2,0%,2,0%,2,0%,5,1%,4,1%,0,0%,2,0%,0,0%,0
Clackamas,FIRST BAPTIST CHURCH SCHOOL,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,FIRWOOD ELEMENTARY,FULL SCHOOL GRADES K-12,409,390,95%,390,95%,392,96%,393,96%,389,95%,393,96%,409,390,95%,388,95%,20,5%,19,5%,19,5%,17,4%,20,5%,16,4%,16,4%,16,4%,18,4%,14,3%,0,0%,0,0%,1
Clackamas,FOREST HILLS ELEMENTARY,FULL SCHOOL GRADES K-12,422,403,95%,401,95%,405,96%,411,97%,398,94%,400,95%,422,399,95%,387,92%,33,8%,19,5%,21,5%,17,4%,24,6%,11,3%,11,3%,22,5%,21,5%,7,2%,0,0%,0,0%,0
Clackamas,GAFFNEY LANE ELEMENTARY,FULL SCHOOL GRADES K-12,528,482,91%,484,92%,487,92%,490,93%,481,91%,484,92%,528,478,91%,473,90%,49,9%,44,8%,44,8%,41,8%,47,9%,38,7%,38,7%,43,8%,47,9%,37,7%,0,0%,0,0%,0
Clackamas,GARDINER MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,813,784,96%,790,97%,793,98%,802,99%,790,97%,798,98%,813,789,97%,771,95%,34,4%,26,3%,20,2%,18,2%,22,3%,12,1%,11,1%,20,2%,14,2%,9,1%,0,0%,3,0%,0
Clackamas,GLADSTONE CENTER FOR CHILDREN,FULL SCHOOL GRADES K-12,121,114,94%,116,96%,115,95%,116,96%,115,95%,116,96%,121,112,93%,111,92%,7,6%,5,4%,5,4%,6,5%,6,5%,5,4%,5,4%,5,4%,7,6%,4,3%,0,0%,0,0%,0
Clackamas,GLADSTONE HIGH SCHOOL,FULL SCHOOL GRADES K-12,637,623,98%,626,98%,631,99%,632,99%,629,99%,631,99%,326,317,97%,619,97%,13,2%,11,2%,9,1%,5,1%,8,1%,4,1%,4,1%,5,1%,6,2%,4,1%,0,0%,1,0%,0
Clackamas,GOOD SHEPHERD SCHOOL,FULL SCHOOL GRADES K-12,162,146,90%,145,90%,149,92%,150,93%,144,89%,146,90%,162,143,88%,140,86%,21,13%,16,10%,17,10%,13,8%,18,11%,12,7%,12,7%,15,9%,19,12%,8,5%,0,0%,0,0%,0
Clackamas,GRAND VIEW CHRISTIAN ACADEMY,FULL SCHOOL GRADES K-12,281,206,73%,204,73%,206,73%,206,73%,205,73%,206,73%,166,101,61%,182,65%,77,27%,62,22%,65,23%,65,23%,65,23%,65,23%,65,23%,65,23%,65,39%,62,22%,0,0%,0,0%,21
Clackamas,HALLINAN ELEMENTARY,FULL SCHOOL GRADES K-12,448,437,98%,430,96%,437,98%,442,99%,434,97%,424,95%,448,427,95%,417,93%,26,6%,11,2%,18,4%,11,2%,13,3%,5,1%,5,1%,21,5%,18,4%,3,1%,0,0%,0,0%,0
Clackamas,HAPPY VALLEY ELEMENTARY,FULL SCHOOL GRADES K-12,454,431,95%,428,94%,431,95%,454,100%,427,94%,425,94%,454,428,94%,417,92%,35,8%,22,5%,26,6%,23,5%,26,6%,20,4%,20,4%,28,6%,26,6%,17,4%,0,0%,1,0%,0
Clackamas,HAPPY VALLEY MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,"1,123","1,078",96%,"1,090",97%,"1,096",98%,"1,096",98%,"1,089",97%,"1,094",97%,"1,123","1,080",96%,"1,058",94%,57,5%,43,4%,31,3%,26,2%,34,3%,27,2%,27,2%,28,2%,37,3%,20,2%,0,0%,0,0%,0
Clackamas,HCCR ELEMENTARY,FULL SCHOOL GRADES K-12,13,12,92%,12,92%,13,100%,13,100%,12,92%,12,92%,13,13,100%,11,85%,2,15%,1,8%,1,8%,0,0%,1,8%,0,0%,0,0%,1,8%,0,0%,0,0%,0,0%,0,0%,0
Clackamas,HCCR FLS,FULL SCHOOL GRADES K-12,10,8,80%,8,80%,10,100%,9,90%,8,80%,10,100%,<10,,,8,80%,2,20%,2,20%,2,20%,0,0%,2,20%,1,10%,1,10%,0,0%,,,0,0%,0,0%,0,0%,0
Clackamas,HCCR HIGH SCHOOL,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,HCCR Junior High,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,HERON CREEK ACADEMY HIGH,FULL SCHOOL GRADES K-12,15,15,100%,15,100%,15,100%,15,100%,15,100%,15,100%,<10,,,14,93%,1,7%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,,,0,0%,0,0%,0,0%,0
Clackamas,HERON CREEK ACADEMY JR HIGH,FULL SCHOOL GRADES K-12,14,13,93%,13,93%,14,100%,14,100%,13,93%,13,93%,14,14,100%,13,93%,1,7%,1,7%,1,7%,0,0%,1,7%,0,0%,0,0%,1,7%,0,0%,0,0%,0,0%,0,0%,0
Clackamas,HERON CREEK ELEMENTARY,FULL SCHOOL GRADES K-12,14,13,93%,13,93%,14,100%,14,100%,13,93%,13,93%,14,13,93%,13,93%,1,7%,1,7%,1,7%,0,0%,1,7%,0,0%,0,0%,1,7%,1,7%,0,0%,0,0%,0,0%,0
Clackamas,HILLSVIEW MONTESSORI SCHOOL,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,HOLCOMB ELEMENTARY,FULL SCHOOL GRADES K-12,556,518,93%,517,93%,521,94%,520,94%,518,93%,519,93%,556,514,92%,507,91%,44,8%,37,7%,36,6%,35,6%,36,6%,35,6%,35,6%,36,6%,39,7%,30,5%,0,0%,0,0%,1
Clackamas,HOOD VIEW ADVENTIST SCHOOL,FULL SCHOOL GRADES K-12,127,116,91%,117,92%,117,92%,117,92%,117,92%,117,92%,127,117,92%,116,91%,10,8%,8,6%,8,6%,6,5%,7,6%,7,6%,5,4%,6,5%,7,6%,5,4%,0,0%,0,0%,0
Clackamas,INTERNATIONAL LEADERSHIP ACADEMY,FULL SCHOOL GRADES K-12,29,26,90%,28,97%,29,100%,28,97%,27,93%,28,97%,29,29,100%,21,72%,1,3%,0,0%,0,0%,0,0%,1,3%,1,3%,1,3%,1,3%,0,0%,0,0%,0,0%,0,0%,0
Clackamas,INZA WOOD MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,527,511,97%,517,98%,516,98%,517,98%,517,98%,517,98%,527,513,97%,505,96%,16,3%,12,2%,8,2%,8,2%,8,2%,8,2%,8,2%,8,2%,10,2%,4,1%,0,0%,2,0%,0
Clackamas,JENNINGS LODGE ELEMENTARY,FULL SCHOOL GRADES K-12,229,225,98%,221,97%,223,97%,224,98%,224,98%,221,97%,229,223,97%,221,97%,7,3%,4,2%,7,3%,6,3%,4,2%,4,2%,4,2%,7,3%,6,3%,3,1%,0,0%,2,1%,0
Clackamas,JOHN MCLOUGHLIN ELEMENTARY,FULL SCHOOL GRADES K-12,635,590,93%,593,93%,595,94%,600,94%,593,93%,596,94%,635,590,93%,581,91%,46,7%,40,6%,38,6%,36,6%,39,6%,32,5%,32,5%,35,6%,39,6%,31,5%,3,0%,1,0%,0
Clackamas,JOHN WETTEN ELEMENTARY,FULL SCHOOL GRADES K-12,726,677,93%,681,94%,686,94%,687,95%,679,94%,682,94%,726,676,93%,663,91%,60,8%,49,7%,45,6%,39,5%,46,6%,38,5%,38,5%,44,6%,48,7%,35,5%,0,0%,1,0%,1
Clackamas,KELSO ELEMENTARY,FULL SCHOOL GRADES K-12,366,348,95%,344,94%,350,96%,350,96%,344,94%,349,95%,366,346,95%,340,93%,25,7%,16,4%,20,5%,16,4%,21,6%,16,4%,16,4%,17,5%,20,5%,9,2%,0,0%,0,0%,0
Clackamas,KRAXBERGER MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,455,446,98%,447,98%,448,98%,450,99%,447,98%,448,98%,455,446,98%,442,97%,12,3%,8,2%,8,2%,7,2%,8,2%,5,1%,5,1%,7,2%,9,2%,5,1%,0,0%,1,0%,0
Clackamas,LA SALLE CATHOLIC COLLEGE PREPARATORY,FULL SCHOOL GRADES K-12,720,719,100%,718,100%,715,99%,718,100%,718,100%,717,100%,355,355,100%,710,99%,9,1%,1,0%,2,0%,4,1%,2,0%,2,0%,2,0%,3,0%,0,0%,0,0%,0,0%,1,0%,0
Clackamas,LAKE GROVE ELEMENTARY,FULL SCHOOL GRADES K-12,378,363,96%,361,96%,362,96%,367,97%,358,95%,358,95%,378,359,95%,350,93%,24,6%,14,4%,17,4%,16,4%,18,5%,11,3%,11,3%,19,5%,18,5%,8,2%,0,0%,3,1%,0
Clackamas,LAKE OSWEGO HIGH SCHOOL,FULL SCHOOL GRADES K-12,"1,250","1,218",97%,"1,226",98%,"1,234",99%,"1,235",99%,"1,229",98%,"1,232",99%,612,596,97%,"1,214",97%,34,3%,31,2%,24,2%,16,1%,21,2%,15,1%,15,1%,18,1%,15,2%,11,1%,0,0%,1,0%,11
Clackamas,LAKE OSWEGO JR HIGH SCHOOL,FULL SCHOOL GRADES K-12,862,837,97%,838,97%,850,99%,851,99%,845,98%,840,97%,862,835,97%,814,94%,42,5%,23,3%,23,3%,12,1%,17,2%,11,1%,11,1%,22,3%,23,3%,9,1%,0,0%,2,0%,20
Clackamas,LAKERIDGE HIGH SCHOOL,FULL SCHOOL GRADES K-12,"1,139","1,099",96%,"1,109",97%,"1,117",98%,"1,117",98%,"1,110",97%,"1,109",97%,592,572,97%,"1,081",95%,55,5%,39,3%,29,3%,22,2%,29,3%,22,2%,22,2%,30,3%,18,3%,14,1%,0,0%,2,0%,10
Clackamas,LAKERIDGE JUNIOR HIGH,FULL SCHOOL GRADES K-12,845,815,96%,818,97%,821,97%,828,98%,825,98%,815,96%,845,810,96%,794,94%,44,5%,27,3%,25,3%,22,3%,18,2%,15,2%,16,2%,27,3%,29,3%,14,2%,2,0%,1,0%,14
Clackamas,LEEP-BEAVERCREEK ELEMENTARY,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,LEEP-OGDEN,FULL SCHOOL GRADES K-12,10,8,80%,10,100%,10,100%,10,100%,10,100%,9,90%,10,10,100%,8,80%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Clackamas,LEWELLING ELEMENTARY,FULL SCHOOL GRADES K-12,353,320,91%,323,92%,329,93%,333,94%,325,92%,323,92%,353,319,90%,313,89%,32,9%,26,7%,25,7%,23,7%,26,7%,19,5%,19,5%,25,7%,29,8%,18,5%,0,0%,1,0%,0
Clackamas,Lewis and Clark Montessori Charter School,FULL SCHOOL GRADES K-12,371,300,81%,293,79%,298,80%,312,84%,301,81%,293,79%,371,297,80%,281,76%,79,21%,62,17%,67,18%,65,18%,62,17%,52,14%,52,14%,67,18%,67,18%,46,12%,5,1%,0,0%,0
Clackamas,LINWOOD ELEMENTARY,FULL SCHOOL GRADES K-12,295,282,96%,280,95%,283,96%,286,97%,280,95%,281,95%,295,278,94%,274,93%,18,6%,12,4%,15,5%,12,4%,15,5%,9,3%,9,3%,14,5%,14,5%,8,3%,0,0%,0,0%,0
Clackamas,LOWRIE PRIMARY SCHOOL,FULL SCHOOL GRADES K-12,560,539,96%,538,96%,540,96%,542,97%,538,96%,540,96%,560,529,94%,524,94%,31,6%,20,4%,21,4%,20,4%,21,4%,18,3%,18,3%,20,4%,20,4%,14,3%,0,0%,1,0%,0
Clackamas,Ma'ayan Ha Torah Day School,FULL SCHOOL GRADES K-12,60,47,78%,46,77%,44,73%,50,83%,50,83%,45,75%,60,49,82%,44,73%,16,27%,13,22%,14,23%,16,27%,10,17%,10,17%,10,17%,15,25%,11,18%,8,13%,0,0%,0,0%,0
Clackamas,MARYLHURST EARLY CHILDHOOD CENTER,FULL SCHOOL GRADES K-12,72,61,85%,60,83%,60,83%,61,85%,61,85%,60,83%,72,60,83%,60,83%,11,15%,10,14%,11,15%,11,15%,10,14%,10,14%,10,14%,11,15%,11,15%,10,14%,0,0%,1,1%,0
Clackamas,Meridian Creek Middle School,FULL SCHOOL GRADES K-12,415,391,94%,396,95%,400,96%,400,96%,397,96%,398,96%,415,393,95%,384,93%,26,6%,21,5%,17,4%,14,3%,18,4%,15,4%,15,4%,15,4%,19,5%,14,3%,0,0%,0,0%,0
Clackamas,MICHA-EL SCHOOL,FULL SCHOOL GRADES K-12,109,58,53%,52,48%,60,55%,56,51%,56,51%,48,44%,109,52,48%,45,41%,64,59%,51,47%,57,52%,49,45%,53,49%,53,49%,53,49%,61,56%,57,52%,46,42%,0,0%,0,0%,0
Clackamas,MILWAUKIE ACADEMY OF ARTS,FULL SCHOOL GRADES K-12,283,259,92%,266,94%,265,94%,266,94%,265,94%,264,93%,162,146,90%,255,90%,26,9%,24,8%,17,6%,18,6%,18,6%,17,6%,17,6%,18,6%,15,9%,15,5%,0,0%,0,0%,0
Clackamas,MILWAUKIE ELEMENTARY,FULL SCHOOL GRADES K-12,153,146,95%,147,96%,151,99%,151,99%,147,96%,150,98%,153,146,95%,144,94%,6,4%,5,3%,5,3%,2,1%,6,4%,2,1%,2,1%,3,2%,5,3%,2,1%,0,0%,0,0%,0
Clackamas,MILWAUKIE HIGH SCHOOL,FULL SCHOOL GRADES K-12,758,742,98%,750,99%,748,99%,751,99%,748,99%,747,99%,375,369,98%,733,97%,16,2%,15,2%,8,1%,7,1%,8,1%,6,1%,6,1%,8,1%,5,1%,6,1%,0,0%,1,0%,293
Clackamas,MILWAUKIE MONTESSORI SCHOOL AND DAYCARE,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,MOLALLA ELEMENTARY,FULL SCHOOL GRADES K-12,414,399,96%,396,96%,398,96%,398,96%,398,96%,396,96%,414,394,95%,391,94%,19,5%,15,4%,17,4%,16,4%,16,4%,16,4%,16,4%,18,4%,16,4%,15,4%,0,0%,0,0%,0
Clackamas,MOLALLA HIGH SCHOOL,FULL SCHOOL GRADES K-12,710,685,96%,690,97%,694,98%,695,98%,681,96%,690,97%,353,336,95%,675,95%,27,4%,23,3%,18,3%,16,2%,19,3%,15,2%,15,2%,17,2%,14,4%,14,2%,0,0%,1,0%,0
Clackamas,MOLALLA RIVER ACADEMY,FULL SCHOOL GRADES K-12,204,181,89%,184,90%,184,90%,188,92%,184,90%,186,91%,204,184,90%,179,88%,25,12%,23,11%,20,10%,17,8%,20,10%,16,8%,16,8%,18,9%,20,10%,15,7%,0,0%,0,0%,2
Clackamas,MOLALLA RIVER MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,530,508,96%,513,97%,518,98%,518,98%,515,97%,513,97%,530,511,96%,504,95%,21,4%,19,4%,15,3%,11,2%,14,3%,11,2%,11,2%,15,3%,15,3%,11,2%,0,0%,1,0%,0
Clackamas,MT HOOD ACADEMY,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,MT SCOTT ELEMENTARY,FULL SCHOOL GRADES K-12,370,352,95%,352,95%,356,96%,357,96%,351,95%,360,97%,370,351,95%,343,93%,21,6%,17,5%,17,5%,13,4%,18,5%,12,3%,12,3%,9,2%,13,4%,9,2%,1,0%,0,0%,0
Clackamas,MULINO ELEMENTARY,FULL SCHOOL GRADES K-12,295,274,93%,273,93%,276,94%,277,94%,275,93%,277,94%,295,274,93%,270,92%,23,8%,20,7%,22,7%,19,6%,20,7%,18,6%,18,6%,17,6%,21,7%,15,5%,0,0%,0,0%,0
Clackamas,NAAS ELEMENTARY,FULL SCHOOL GRADES K-12,404,385,95%,383,95%,388,96%,389,96%,387,96%,384,95%,404,385,95%,381,94%,21,5%,18,4%,20,5%,16,4%,17,4%,15,4%,15,4%,19,5%,19,5%,13,3%,0,0%,0,0%,1
Clackamas,NEW URBAN HIGH SCHOOL,FULL SCHOOL GRADES K-12,131,127,97%,130,99%,128,98%,128,98%,127,97%,128,98%,31,30,97%,126,96%,5,4%,4,3%,1,1%,3,2%,4,3%,3,2%,3,2%,3,2%,1,3%,3,2%,0,0%,0,0%,5
Clackamas,NINETY ONE SCHOOL,FULL SCHOOL GRADES K-12,469,419,89%,418,89%,422,90%,421,90%,418,89%,422,90%,469,419,89%,409,87%,53,11%,48,10%,51,11%,46,10%,49,10%,47,10%,47,10%,47,10%,47,10%,44,9%,0,0%,2,0%,0
Clackamas,NORTH CLACKAMAS CHRISTIAN SCHOOL,FULL SCHOOL GRADES K-12,218,202,93%,202,93%,206,94%,202,93%,202,93%,202,93%,192,174,91%,199,91%,19,9%,16,7%,16,7%,11,5%,15,7%,15,7%,15,7%,16,7%,18,9%,9,4%,0,0%,0,0%,0
Clackamas,OAK CREEK ELEMENTARY,FULL SCHOOL GRADES K-12,570,558,98%,556,98%,559,98%,559,98%,552,97%,551,97%,570,547,96%,540,95%,23,4%,12,2%,12,2%,11,2%,16,3%,11,2%,11,2%,18,3%,19,3%,9,2%,0,0%,0,0%,0
Clackamas,OAK GROVE CENTER,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,OAK GROVE ELEMENTARY,FULL SCHOOL GRADES K-12,323,301,93%,303,94%,308,95%,310,96%,306,95%,306,95%,323,301,93%,296,92%,23,7%,20,6%,20,6%,15,5%,16,5%,13,4%,13,4%,16,5%,19,6%,12,4%,0,0%,0,0%,0
Clackamas,OCSD Jackson Prep,FULL SCHOOL GRADES K-12,58,58,100%,58,100%,58,100%,58,100%,58,100%,58,100%,32,32,100%,58,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Clackamas,OGDEN MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,879,832,95%,841,96%,842,96%,847,96%,844,96%,843,96%,879,836,95%,824,94%,46,5%,41,5%,35,4%,35,4%,33,4%,29,3%,29,3%,33,4%,36,4%,29,3%,2,0%,0,0%,7
Clackamas,OREGON CITY CHRISTIAN ACADEMY,FULL SCHOOL GRADES K-12,22,20,91%,20,91%,20,91%,20,91%,20,91%,20,91%,12,10,83%,20,91%,2,9%,2,9%,2,9%,2,9%,2,9%,2,9%,2,9%,2,9%,2,17%,2,9%,0,0%,0,0%,0
Clackamas,OREGON CITY HIGH SCHOOL,FULL SCHOOL GRADES K-12,"1,911","1,851",97%,"1,877",98%,"1,884",99%,"1,889",99%,"1,878",98%,"1,882",98%,"1,024",989,97%,"1,822",95%,52,3%,42,2%,28,1%,21,1%,29,2%,19,1%,19,1%,24,1%,21,2%,16,1%,1,0%,2,0%,16
Clackamas,OREGON CITY SERVICE LEARNING ACADEMY,FULL SCHOOL GRADES K-12,150,142,95%,144,96%,144,96%,145,97%,144,96%,144,96%,53,52,98%,141,94%,9,6%,8,5%,6,4%,6,4%,6,4%,5,3%,5,3%,6,4%,1,2%,5,3%,0,0%,0,0%,0
Clackamas,OREGON TRAIL ACADEMY,FULL SCHOOL GRADES K-12,265,253,95%,253,95%,255,96%,256,97%,253,95%,253,95%,246,234,95%,250,94%,15,6%,12,5%,12,5%,10,4%,12,5%,9,3%,9,3%,12,5%,12,5%,9,3%,0,0%,0,0%,0
Clackamas,OREGON TRAIL ELEMENTARY,FULL SCHOOL GRADES K-12,567,534,94%,533,94%,538,95%,539,95%,536,95%,535,94%,567,531,94%,525,93%,38,7%,32,6%,34,6%,29,5%,31,5%,28,5%,28,5%,31,5%,33,6%,27,5%,0,0%,0,0%,0
Clackamas,OUR LADY OF THE LAKE,FULL SCHOOL GRADES K-12,243,239,98%,236,97%,236,97%,235,97%,235,97%,233,96%,243,236,97%,232,95%,11,5%,4,2%,2,1%,7,3%,9,4%,9,4%,9,4%,10,4%,7,3%,0,0%,0,0%,0,0%,0
Clackamas,PARK ACADEMY,FULL SCHOOL GRADES K-12,94,87,93%,89,95%,88,94%,88,94%,88,94%,88,94%,88,77,88%,86,91%,8,9%,7,7%,5,5%,6,6%,6,6%,6,6%,6,6%,6,6%,6,7%,5,5%,0,0%,0,0%,0
Clackamas,PARROTT CREEK RANCH,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,PHILANDER LEE ELEMENTARY,FULL SCHOOL GRADES K-12,410,398,97%,398,97%,397,97%,399,97%,395,96%,396,97%,410,395,96%,389,95%,20,5%,12,3%,12,3%,13,3%,15,4%,11,3%,11,3%,14,3%,14,3%,10,2%,0,0%,0,0%,0
Clackamas,PORTLAND WALDORF SCHOOL,FULL SCHOOL GRADES K-12,286,177,62%,176,62%,179,63%,174,61%,174,61%,174,61%,255,153,60%,135,47%,127,44%,94,33%,101,35%,94,33%,99,35%,99,35%,99,35%,106,37%,91,36%,66,23%,0,0%,2,1%,0
Clackamas,REDLAND ELEMENTARY,FULL SCHOOL GRADES K-12,534,505,95%,504,94%,506,95%,507,95%,504,94%,506,95%,534,504,94%,498,93%,32,6%,27,5%,28,5%,28,5%,29,5%,26,5%,26,5%,27,5%,28,5%,25,5%,0,0%,0,0%,0
Clackamas,RENAISSANCE PUBLIC ACADEMY,FULL SCHOOL GRADES K-12,96,77,80%,75,78%,75,78%,78,81%,75,78%,77,80%,83,64,77%,71,74%,24,25%,19,20%,21,22%,21,22%,21,22%,18,19%,18,19%,19,20%,18,22%,16,17%,0,0%,0,0%,0
Clackamas,RESURRECTION CATHOLIC PRESCHOOL AND KINDERGARTEN,FULL SCHOOL GRADES K-12,10,9,90%,9,90%,8,80%,9,90%,9,90%,8,80%,10,8,80%,8,80%,2,20%,1,10%,1,10%,2,20%,1,10%,1,10%,1,10%,2,20%,2,20%,1,10%,0,0%,0,0%,0
Clackamas,REX PUTNAM HIGH SCHOOL,FULL SCHOOL GRADES K-12,"1,105","1,061",96%,"1,077",97%,"1,087",98%,"1,087",98%,"1,081",98%,"1,085",98%,593,572,96%,"1,056",96%,44,4%,41,4%,24,2%,18,2%,23,2%,18,2%,18,2%,20,2%,18,3%,18,2%,0,0%,1,0%,9
Clackamas,RIVER GROVE ELEMENTARY,FULL SCHOOL GRADES K-12,548,525,96%,524,96%,525,96%,531,97%,523,95%,515,94%,548,516,94%,508,93%,38,7%,23,4%,24,4%,23,4%,25,5%,16,3%,16,3%,33,6%,31,6%,13,2%,0,0%,0,0%,0
Clackamas,RIVER MILL ELEMENTARY,FULL SCHOOL GRADES K-12,401,381,95%,381,95%,386,96%,388,97%,382,95%,383,96%,401,379,95%,372,93%,19,5%,15,4%,15,4%,15,4%,17,4%,13,3%,13,3%,14,3%,17,4%,11,3%,0,0%,0,0%,0
Clackamas,RIVERGATE ADVENTIST ELEMENTARY AND CHILDCARE,FULL SCHOOL GRADES K-12,133,120,90%,120,90%,120,90%,120,90%,120,90%,120,90%,133,120,90%,120,90%,13,10%,13,10%,13,10%,13,10%,13,10%,13,10%,13,10%,13,10%,13,10%,13,10%,0,0%,0,0%,0
